                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.77737,                0.64784,                 1.0063,                0.96183,                0.90752,                0.96783,                0.84503,                0.49212,                 0.3248,                0.83556,               0.007525,               0.007525,               0.007525
                    127,                0.77853,                0.64291,                 1.0079,                0.96277,                0.90728,                0.96788,                0.84516,                0.49172,                0.32444,                0.83529,              0.0075052,              0.0075052,              0.0075052
                    128,                0.76932,                0.63747,                 1.0017,                  0.963,                 0.9069,                0.96796,                 0.8456,                0.49139,                 0.3241,                0.83504,              0.0074854,              0.0074854,              0.0074854
                    129,                0.77367,                0.64057,                  1.003,                0.96347,                0.90661,                0.96818,                0.84573,                0.49087,                0.32357,                0.83479,              0.0074656,              0.0074656,              0.0074656
                    130,                0.77788,                0.64156,                 1.0065,                 0.9634,                0.90686,                0.96824,                0.84603,                0.49043,                0.32311,                 0.8346,              0.0074458,              0.0074458,              0.0074458
                    131,                0.76643,                0.63858,                 1.0037,                0.96364,                0.90689,                 0.9683,                0.84602,                0.49008,                0.32275,                0.83441,               0.007426,               0.007426,               0.007426
                    132,                0.77257,                0.64214,                 1.0061,                0.96337,                0.90747,                0.96845,                0.84596,                0.48976,                0.32241,                0.83417,              0.0074062,              0.0074062,              0.0074062
                    133,                0.77672,                0.64211,                 1.0043,                 0.9638,                0.90728,                0.96875,                0.84643,                0.48926,                0.32213,                0.83386,              0.0073864,              0.0073864,              0.0073864
                    134,                 0.7694,                0.63642,                 1.0049,                0.96411,                0.90757,                0.96895,                 0.8466,                0.48889,                0.32173,                0.83371,              0.0073666,              0.0073666,              0.0073666
                    135,                0.77332,                0.63534,                 1.0001,                0.96432,                0.90793,                0.96905,                  0.847,                0.48822,                0.32121,                0.83341,              0.0073468,              0.0073468,              0.0073468
                    136,                0.76775,                0.63498,                 1.0028,                0.96447,                0.90811,                0.96905,                0.84742,                 0.4876,                0.32093,                0.83312,               0.007327,               0.007327,               0.007327
                    137,                0.77564,                0.63566,                 1.0068,                0.96491,                0.90767,                0.96907,                0.84749,                0.48735,                0.32062,                  0.833,              0.0073072,              0.0073072,              0.0073072
                    138,                0.76926,                0.63098,                 1.0018,                0.96482,                0.90758,                0.96907,                0.84752,                0.48715,                0.32034,                0.83289,              0.0072874,              0.0072874,              0.0072874
                    139,                0.77179,                 0.6382,                  1.006,                0.96498,                0.90733,                0.96928,                0.84789,                 0.4866,                0.31983,                0.83261,              0.0072676,              0.0072676,              0.0072676
                    140,                 0.7679,                0.63207,                 1.0037,                0.96494,                0.90773,                0.96924,                0.84807,                0.48621,                0.31945,                0.83233,              0.0072478,              0.0072478,              0.0072478
                    141,                0.76473,                 0.6283,                  1.003,                 0.9652,                0.90798,                0.96936,                0.84811,                0.48595,                0.31904,                 0.8321,               0.007228,               0.007228,               0.007228
